"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: interval"
"org.jvmbenchmark.measure9.WithExceptions.loopWithExceptions","avgt",4,10,469040.272804,67165.190161,"ns/op",0
"org.jvmbenchmark.measure9.WithExceptions.loopWithExceptions","avgt",4,10,546889256.954167,136604620.925613,"ns/op",10
"org.jvmbenchmark.measure9.WithExceptions.loopWithExceptions","avgt",4,10,56749983.952696,2754539.876495,"ns/op",100
"org.jvmbenchmark.measure9.WithExceptions.loopWithExceptions","avgt",4,10,12461126.515006,810792.815236,"ns/op",1000
"org.jvmbenchmark.measure9.WithExceptions.loopWithExceptions","avgt",4,10,7817385.194408,211332.285795,"ns/op",10000
