"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.jvmbenchmark.measure5.ToArrayClone.baseline","avgt",4,5,0.670910,0.012227,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy2","avgt",4,5,1156.179997,72.204434,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy3","avgt",4,5,1720.119852,69.522093,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.int_arr_copy4","avgt",4,5,1852.396041,116.571776,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy0","avgt",4,5,1840.845248,349.856840,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy1","avgt",4,5,2799.959169,443.038100,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy2","avgt",4,5,3268.826695,189.201391,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy3","avgt",4,5,4123.474865,12524.537638,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy4","avgt",4,5,2277.778324,1153.644594,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.obj_arr_copy5","avgt",4,5,3633.474558,1739.582350,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy0","avgt",4,5,2210.334138,824.904225,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy1","avgt",4,5,1739.279306,185.501525,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy2","avgt",4,5,2286.636937,132.877437,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy3","avgt",4,5,1781.036912,415.691249,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy4","avgt",4,5,1861.814109,807.441099,"ns/op"
"org.jvmbenchmark.measure5.ToArrayClone.str_arr_copy5","avgt",4,5,1782.139125,105.558700,"ns/op"
