"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.jvmbenchmark.measure4.StringConcat.baseline","avgt",4,15,0.775200,0.121965,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat00","avgt",4,15,62.734136,19.641647,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat01","avgt",4,15,14.705686,3.496192,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat02","avgt",4,15,127.742823,64.310834,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat03","avgt",4,15,12.136958,5.328772,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat11","avgt",4,15,60.879847,23.840541,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat12","avgt",4,15,55.682044,19.321884,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat13","avgt",4,15,51.891215,8.309177,"ns/op"
"org.jvmbenchmark.measure4.StringConcat.concat14","avgt",4,15,270.014664,14.206148,"ns/op"
