"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.jvmbenchmark.measure6.HelloWorld.computeDoNotInline","avgt",1,5,4.808972,0.184272,"ns/op"
"org.jvmbenchmark.measure6.HelloWorld.computeInline","avgt",1,5,2.797007,0.125708,"ns/op"
